model,horizon,number,value,state,params_batch_size,params_decoder_hidden_size,params_decoder_layers,params_dropout,params_early_stop_patience,params_encoder_n_layers,params_hidden_size,params_input_size,params_lr,params_scaler,duration,params_attn_dropout,params_n_head,params_colsample_bylevel,params_colsample_bytree,params_gamma,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_alpha,params_reg_lambda,params_subsample
lstm,10d,0,0.10556949886035749,COMPLETE,32.0,512.0,1.0,0.3005575058716044,37.0,4.0,64.0,120.0,0.001331121608073689,minmax,0 days 00:00:10.371831,,,,,,,,,,,,
lstm,10d,1,0.07089821402035876,COMPLETE,16.0,512.0,2.0,0.45466020103939103,35.0,2.0,32.0,24.0,5.9750279999602906e-05,standard,0 days 00:00:07.945644,,,,,,,,,,,,
lstm,10d,2,0.08621108281851775,COMPLETE,16.0,512.0,3.0,0.1792328642721363,42.0,2.0,128.0,72.0,2.2264204303769678e-05,standard,0 days 00:00:08.715468,,,,,,,,,,,,
lstm,10d,3,0.09166776694059521,COMPLETE,128.0,512.0,1.0,0.4040601897822085,38.0,2.0,512.0,36.0,0.000794714742465374,standard,0 days 00:00:11.038883,,,,,,,,,,,,
lstm,10d,4,0.06979061029853885,COMPLETE,16.0,128.0,2.0,0.025739375624994676,31.0,4.0,32.0,12.0,6.853925708853055e-05,standard,0 days 00:00:10.372490,,,,,,,,,,,,
lstm,10d,5,0.07772016513751812,COMPLETE,32.0,64.0,1.0,0.4386696766904905,42.0,3.0,128.0,48.0,5.940525755701928e-05,standard,0 days 00:00:09.283334,,,,,,,,,,,,
lstm,10d,6,0.08738128333955825,COMPLETE,16.0,192.0,2.0,0.32481644952360733,33.0,3.0,512.0,36.0,0.0035291509251299,standard,0 days 00:00:14.062775,,,,,,,,,,,,
lstm,10d,7,0.07452005688840314,COMPLETE,32.0,64.0,4.0,0.15846100257813883,34.0,4.0,96.0,36.0,3.22461774864237e-05,standard,0 days 00:00:10.519291,,,,,,,,,,,,
lstm,10d,8,0.10594138207463295,COMPLETE,64.0,384.0,3.0,0.1432706260641422,41.0,4.0,32.0,36.0,0.0005922427891922458,minmax,0 days 00:00:10.435850,,,,,,,,,,,,
lstm,10d,9,0.08576361011535727,COMPLETE,16.0,192.0,2.0,0.13996694847297142,31.0,2.0,384.0,36.0,0.007321428778380786,robust,0 days 00:00:11.132161,,,,,,,,,,,,
lstm,10d,10,0.0997388162988224,COMPLETE,32.0,384.0,4.0,0.4701151207124788,31.0,2.0,64.0,36.0,0.0005326262097599815,minmax,0 days 00:00:09.078349,,,,,,,,,,,,
lstm,10d,11,0.10161752896661155,COMPLETE,16.0,32.0,4.0,0.3882064803709984,31.0,2.0,256.0,36.0,0.0001052956962803246,minmax,0 days 00:00:12.053911,,,,,,,,,,,,
lstm,10d,12,0.07720652838975955,COMPLETE,32.0,384.0,4.0,0.17545750627603934,43.0,4.0,512.0,48.0,2.244920931433379e-05,robust,0 days 00:00:17.932137,,,,,,,,,,,,
lstm,10d,13,0.08373815941131851,COMPLETE,64.0,384.0,3.0,0.2916843825485798,38.0,3.0,512.0,120.0,0.007700477308294278,minmax,0 days 00:00:20.534926,,,,,,,,,,,,
lstm,10d,14,0.07819091268943171,COMPLETE,128.0,64.0,2.0,0.48719740383308324,30.0,1.0,64.0,72.0,0.00909143071669246,standard,0 days 00:00:06.092646,,,,,,,,,,,,
