group,feature,importance,horizon
Future variable importance over time,hour,0.6291618347167969,3d
Past variable importance over time,observed_target,0.2245014458894729,3d
Past variable importance over time,hour,0.2200157642364502,3d
Past variable importance over time,om_shortwave_radiation,0.1492570787668228,3d
Past variable importance over time,om_wind_speed_10m,0.0977130159735679,3d
Future variable importance over time,om_temperature_2m,0.0902488529682159,3d
Past variable importance over time,is_weekend,0.0762313827872276,3d
Past variable importance over time,om_temperature_2m,0.0758211761713028,3d
Future variable importance over time,day_of_week,0.0720153376460075,3d
Future variable importance over time,om_apparent_temperature,0.068679928779602,3d
Past variable importance over time,om_apparent_temperature,0.0650104060769081,3d
Future variable importance over time,month,0.0443364903330802,3d
Past variable importance over time,day_of_week,0.0402411110699176,3d
Future variable importance over time,is_weekend,0.0344704799354076,3d
Future variable importance over time,is_summer,0.0335016027092933,3d
Future variable importance over time,is_holiday,0.0275855846703052,3d
Past variable importance over time,is_holiday,0.0239189993590116,3d
Past variable importance over time,is_summer,0.0186171624809503,3d
Past variable importance over time,month,0.0086724199354648,3d
Future variable importance over time,hour,0.6466625332832336,10d
Past variable importance over time,hour,0.2478136271238327,10d
Past variable importance over time,om_shortwave_radiation,0.2216137796640396,10d
Past variable importance over time,observed_target,0.2020062953233719,10d
Future variable importance over time,om_temperature_2m,0.1028392240405082,10d
Past variable importance over time,om_wind_speed_10m,0.0671054497361183,10d
Future variable importance over time,day_of_week,0.0634500384330749,10d
Past variable importance over time,om_temperature_2m,0.05765300989151,10d
Past variable importance over time,month,0.0531160049140453,10d
Future variable importance over time,month,0.0489180423319339,10d
Future variable importance over time,om_apparent_temperature,0.0464101023972034,10d
Future variable importance over time,is_weekend,0.0459943749010562,10d
Past variable importance over time,is_weekend,0.0454806834459304,10d
Past variable importance over time,day_of_week,0.0333230756223201,10d
Past variable importance over time,om_apparent_temperature,0.0274016708135604,10d
Past variable importance over time,is_holiday,0.0261882487684488,10d
Future variable importance over time,is_holiday,0.024752490222454,10d
Future variable importance over time,is_summer,0.0209733061492443,10d
Past variable importance over time,is_summer,0.0182981472462415,10d
Future variable importance over time,hour,0.5529741048812866,15d
Past variable importance over time,observed_target,0.2213005572557449,15d
Past variable importance over time,hour,0.2159857749938964,15d
Past variable importance over time,om_shortwave_radiation,0.1914184540510177,15d
Future variable importance over time,om_temperature_2m,0.1198634356260299,15d
Future variable importance over time,om_apparent_temperature,0.0994284227490425,15d
Past variable importance over time,om_temperature_2m,0.0722924470901489,15d
Future variable importance over time,month,0.0719672515988349,15d
Future variable importance over time,day_of_week,0.0705427825450897,15d
Past variable importance over time,om_wind_speed_10m,0.0675506815314292,15d
Past variable importance over time,is_weekend,0.0599754452705383,15d
Past variable importance over time,day_of_week,0.0543082803487777,15d
Past variable importance over time,month,0.0386973321437835,15d
Future variable importance over time,is_weekend,0.0372020788490772,15d
Past variable importance over time,om_apparent_temperature,0.0283817071467638,15d
Future variable importance over time,is_summer,0.0256348960101604,15d
Past variable importance over time,is_summer,0.0251215249300003,15d
Past variable importance over time,is_holiday,0.0249678567051887,15d
Future variable importance over time,is_holiday,0.0223870705813169,15d
